,Unnamed: 0,index,source,brRT,user_screenname,kandidat,tag,value,vreme,aparat
0,0,0,nisamfinna,1,Bloknalog_z,DJB-Dveri,SNS,Negativni,2018-01-27 18:07:33,Twitter for Android
1,1,1,DostaJeBilo,19,SvilokosZ,DJB-Dveri,SNS,Negativni,2018-01-27 18:38:32,Twitter for Android
2,2,2,DostaJeBilo,19,SvilokosZ,DJB-Dveri,Ostali,Pozitivni,2018-01-27 18:38:32,Twitter for Android
3,3,3,haarppp,29,bbungin,DJB-Dveri,Ostali,Pozitivni,2018-01-27 18:54:38,Twitter for Android
4,4,4,mara_jovicic,76,bombonica73,Dragan Đilas,SNS,Negativni,2018-01-27 19:09:40,Twitter for Android
5,5,5,gagolinica1,41,BrankoRadun,Dragan Đilas,SNS,Negativni,2018-01-27 19:18:02,Twitter for Android
6,6,6,janbo987,67,vanja_121,Dragan Đilas,SNS,Negativni,2018-01-27 19:25:31,Twitter for Android
7,7,7,belilav11,26,sanjailic5954,Dragan Đilas,SNS,Negativni,2018-01-27 19:30:48,Twitter for Android
8,8,8,hyperpvp2002,33,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:36:03,Twitter for Android
9,9,9,IvicaJovanovi2,39,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:48:20,Twitter for Android
10,10,10,Lili_091,6,Lili_091,Aleksandar Šapić,Ostali,Pozitivni,2018-01-27 19:48:32,Twitter Web Client
11,11,11,lipovica01,28,MarijanaJelic4,DJB-Dveri,SNS,Negativni,2018-01-27 19:48:56,Twitter for Android
12,12,12,Profesorka2,34,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:49:17,Twitter for Android
13,13,13,mrsperic,18,mrsperic,Aleksandar Šapić,SNS,Negativni,2018-01-27 19:50:13,Twitter for Android
14,14,14,hyperpvp2002,53,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:50:24,Twitter for Android
15,15,15,Profesorka2,30,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:51:53,Twitter for Android
16,16,16,IvicaJovanovi2,22,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:53:22,Twitter for Android
17,17,17,IvicaJovanovi2,25,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:53:35,Twitter for Android
18,18,18,IvicaJovanovi2,19,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:53:45,Twitter for Android
19,19,19,hyperpvp2002,29,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:53:59,Twitter for Android
20,20,20,hyperpvp2002,35,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:54:14,Twitter for Android
21,21,21,vlade_struja,50,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:55:23,Twitter for Android
22,22,22,djukastef,49,msanja041,Dragan Đilas,SNS,Negativni,2018-01-27 19:55:47,Twitter for Android
23,23,23,tinka_planinka,37,mrsperic,Aleksandar Šapić,SNS,Negativni,2018-01-27 19:55:54,Twitter for Android
24,24,24,tinka_planinka,37,vitezzkojaaa,Aleksandar Šapić,SNS,Negativni,2018-01-27 19:56:25,Twitter Web Client
25,25,25,Pamela_A60,2,Pamela_A60,Dragan Đilas,SNS,Negativni,2018-01-27 19:57:57,Twitter Web Client
26,26,26,tinka_planinka,14,mrsperic,Dragan Đilas,SNS,Negativni,2018-01-27 19:58:25,Twitter for Android
27,27,27,gagolinica1,41,stevostevica21,Dragan Đilas,SNS,Negativni,2018-01-27 19:58:55,Twitter Web Client
28,28,28,MarijaAna8,2,MarijaAna8,Aleksandar Šapić,SNS,Negativni,2018-01-27 20:00:03,Twitter for iPhone
29,29,29,CrveniOblak77,6,silic5119,Aleksandar Šapić,SNS,Negativni,2018-01-27 20:01:14,Twitter for Android
30,30,30,Krle22,16,silic5119,Dragan Šutanovac,SNS,Negativni,2018-01-27 20:01:27,Twitter for Android
